epi,t,reward,normo,hypo,sev_hypo,hyper,lgbi,hgbi,ri,sev_hyper,aBGP_rmse,cBGP_rmse
0,28,10.571329,85.71428571428571,7.142857142857143,7.142857142857143,0.0,12.275318,4.1396246,16.414944,0.0,0,0
1,37,19.311752,83.78378378378379,8.108108108108109,8.108108108108109,0.0,11.654136,2.3098104,13.963946,0.0,0,0
2,37,19.496708,81.08108108108108,10.81081081081081,8.108108108108109,0.0,10.132018,0.7246787,10.856697,0.0,0,0
3,37,18.488499,72.97297297297297,5.405405405405405,21.62162162162162,0.0,11.356812,1.1670966,12.523909,0.0,0,0
4,25,7.7661858,76.0,12.0,12.0,0.0,12.028087,1.3217208,13.349808,0.0,0,0
5,32,14.368399,81.25,6.25,12.5,0.0,14.430488,2.025818,16.456306,0.0,0,0
6,38,19.944489,73.6842105263158,15.789473684210526,10.526315789473685,0.0,11.800411,2.0495014,13.849913,0.0,0,0
7,37,19.233387,78.37837837837837,13.513513513513514,8.108108108108109,0.0,13.161209,1.8198293,14.981038,0.0,0,0
8,42,23.632092,78.57142857142857,9.523809523809524,11.904761904761905,0.0,9.9382715,2.4363143,12.374586,0.0,0,0
9,29,11.671341,75.86206896551724,13.793103448275861,10.344827586206897,0.0,11.887187,1.0290997,12.916286,0.0,0,0
10,45,27.457249,91.11111111111111,4.444444444444445,4.444444444444445,0.0,6.9833455,1.9061359,8.889482,0.0,0,0
11,34,16.992691,91.17647058823529,2.9411764705882355,5.882352941176471,0.0,7.4847655,2.2301586,9.714924,0.0,0,0
12,35,17.298275,80.0,2.857142857142857,8.571428571428571,8.571428571428571,14.433221,3.4377966,17.871017,0.0,0,0
13,31,13.276573,77.41935483870968,6.451612903225806,16.129032258064516,0.0,15.838698,1.8114827,17.65018,0.0,0,0
14,39,20.438782,74.35897435897436,12.820512820512821,12.820512820512821,0.0,13.4906845,3.340538,16.831223,0.0,0,0
15,35,17.168247,82.85714285714286,5.714285714285714,11.428571428571429,0.0,15.706174,2.52419,18.230364,0.0,0,0
16,47,28.851608,82.97872340425532,10.638297872340425,6.382978723404255,0.0,9.659913,1.9258374,11.585751,0.0,0,0
17,34,16.085169,73.52941176470588,14.705882352941176,11.764705882352942,0.0,12.473704,2.2357965,14.709501,0.0,0,0
18,37,18.779076,78.37837837837837,5.405405405405405,16.216216216216218,0.0,12.559166,2.3336577,14.892824,0.0,0,0
19,41,22.85004,80.48780487804878,9.75609756097561,9.75609756097561,0.0,10.301657,2.2406402,12.542297,0.0,0,0
20,40,21.334785,80.0,5.0,15.0,0.0,14.278818,3.166756,17.445574,0.0,0,0
21,32,14.708772,81.25,9.375,9.375,0.0,14.463908,1.0281271,15.492035,0.0,0,0
22,46,27.629261,82.6086956521739,4.3478260869565215,13.043478260869565,0.0,10.692647,2.02431,12.716957,0.0,0,0
23,34,16.293455,79.41176470588235,11.764705882352942,8.823529411764707,0.0,12.328485,2.764837,15.093322,0.0,0,0
24,31,13.074982,77.41935483870968,6.451612903225806,16.129032258064516,0.0,16.825184,2.9157383,19.740923,0.0,0,0
25,42,24.128624,83.33333333333333,7.142857142857143,9.523809523809524,0.0,8.819737,1.1783584,9.9980955,0.0,0,0
26,40,22.21118,82.5,7.5,10.0,0.0,10.44808,2.0759077,12.523988,0.0,0,0
27,32,14.854831,84.375,6.25,9.375,0.0,10.752571,1.1814382,11.93401,0.0,0,0
28,43,23.911278,74.4186046511628,6.976744186046512,18.6046511627907,0.0,15.164549,1.8528523,17.0174,0.0,0,0
29,35,17.616886,85.71428571428571,8.571428571428571,5.714285714285714,0.0,11.084542,1.888151,12.972693,0.0,0,0
30,37,18.442444,75.67567567567568,5.405405405405405,18.91891891891892,0.0,17.237835,2.2823994,19.520235,0.0,0,0
31,29,11.180923,72.41379310344827,13.793103448275861,13.793103448275861,0.0,14.326314,2.110829,16.437143,0.0,0,0
32,46,27.452602,71.73913043478261,19.565217391304348,8.695652173913043,0.0,8.890349,1.5546918,10.445042,0.0,0,0
33,32,14.012652,71.875,12.5,15.625,0.0,13.089372,0.95429146,14.043663,0.0,0,0
34,48,28.855358,75.0,12.5,12.5,0.0,11.980388,2.7072372,14.687625,0.0,0,0
35,42,24.377228,88.0952380952381,4.761904761904762,7.142857142857143,0.0,9.778961,2.2674878,12.046449,0.0,0,0
36,31,13.5144615,80.64516129032258,9.67741935483871,9.67741935483871,0.0,10.748889,2.1290863,12.877975,0.0,0,0
37,30,12.25242,70.0,20.0,10.0,0.0,13.735761,0.45553538,14.191296,0.0,0,0
38,26,8.42449,76.92307692307692,7.6923076923076925,11.538461538461538,3.8461538461538463,14.628187,3.086843,17.71503,0.0,0,0
