epi,t,reward,normo,hypo,sev_hypo,hyper,lgbi,hgbi,ri,sev_hyper,aBGP_rmse,cBGP_rmse
0,44,25.03077,72.72727272727273,15.909090909090908,11.363636363636363,0.0,12.692756,2.049403,14.742159,0.0,0,0
1,29,11.161444,72.41379310344827,10.344827586206897,17.24137931034483,0.0,15.8548155,1.8649617,17.719778,0.0,0,0
2,22,5.0351944,81.81818181818181,4.545454545454546,13.636363636363637,0.0,11.75011,1.4276193,13.177729,0.0,0,0
3,50,31.11845,72.0,18.0,10.0,0.0,11.279317,1.3727173,12.652034,0.0,0,0
4,27,9.34779,85.18518518518519,3.7037037037037037,11.11111111111111,0.0,11.184903,4.607899,15.792803,0.0,0,0
5,36,17.036633,63.888888888888886,16.666666666666668,19.444444444444443,0.0,16.422997,2.1013527,18.52435,0.0,0,0
6,37,18.405624,70.27027027027027,8.108108108108109,21.62162162162162,0.0,18.102894,1.8485798,19.951473,0.0,0,0
7,32,14.413285,78.125,12.5,9.375,0.0,11.523649,1.4080263,12.931676,0.0,0,0
8,26,8.501049,73.07692307692308,15.384615384615385,11.538461538461538,0.0,13.368081,2.6887555,16.056837,0.0,0,0
9,31,13.3895,74.19354838709677,16.129032258064516,9.67741935483871,0.0,11.63402,1.5411556,13.175176,0.0,0,0
10,36,18.40924,80.55555555555556,11.11111111111111,8.333333333333334,0.0,10.122245,2.1600852,12.28233,0.0,0,0
11,29,11.486441,75.86206896551724,13.793103448275861,10.344827586206897,0.0,9.49162,2.8933542,12.3849745,0.0,0,0
12,28,9.882397,71.42857142857143,7.142857142857143,21.428571428571427,0.0,16.418802,3.301671,19.720474,0.0,0,0
13,34,16.7165,85.29411764705883,5.882352941176471,8.823529411764707,0.0,9.333478,1.7908447,11.124323,0.0,0,0
14,35,16.788006,74.28571428571429,14.285714285714286,11.428571428571429,0.0,12.743461,3.406742,16.150204,0.0,0,0
15,42,23.32885,76.19047619047619,9.523809523809524,9.523809523809524,4.761904761904762,10.540212,4.561496,15.101707,0.0,0,0
16,35,15.764357,65.71428571428571,8.571428571428571,25.714285714285715,0.0,16.609858,2.7840095,19.393867,0.0,0,0
17,36,18.414917,83.33333333333333,5.555555555555555,5.555555555555555,5.555555555555555,9.529021,3.4162,12.945221,0.0,0,0
18,38,19.444534,76.3157894736842,2.6315789473684212,21.05263157894737,0.0,13.825485,2.2224288,16.047915,0.0,0,0
19,38,18.566425,65.78947368421052,5.2631578947368425,28.94736842105263,0.0,18.970045,1.9960419,20.966087,0.0,0,0
20,32,15.177675,90.625,3.125,6.25,0.0,7.833936,0.976354,8.81029,0.0,0,0
21,41,22.844551,73.17073170731707,17.073170731707318,9.75609756097561,0.0,9.62166,0.7970715,10.418732,0.0,0,0
22,35,16.98875,82.85714285714286,5.714285714285714,11.428571428571429,0.0,10.797105,3.0928917,13.889997,0.0,0,0
23,45,26.744297,73.33333333333333,17.77777777777778,8.88888888888889,0.0,7.940376,2.04207,9.982446,0.0,0,0
24,32,13.926329,68.75,18.75,12.5,0.0,13.225733,1.3749443,14.6006775,0.0,0,0
25,41,21.646751,60.97560975609756,19.51219512195122,19.51219512195122,0.0,14.713374,1.1901156,15.90349,0.0,0,0
26,35,16.824991,77.14285714285714,2.857142857142857,20.0,0.0,16.424223,1.912511,18.336735,0.0,0,0
