policy_grad,value_grad,val_loss,exp_var,true_var,pi_loss,avg_rew
0.120273456,16.398571,1917.5983,1.296401e-05,36.046646,-0.025603268,0.0
0.09505535,16.133049,1924.5952,1.6787648e-05,41.41012,-0.024228552,0.0
0.08080538,17.10432,1834.0403,4.1216612e-05,36.370872,-0.024990764,0.0
0.10099311,18.572222,1827.8763,9.199381e-05,38.515312,-0.03925371,0.0
0.07447651,22.185146,1776.6519,0.00028593838,40.332058,-0.025627214,0.0
0.06903939,31.140614,1694.9464,0.0007740408,42.509518,-0.02846521,0.0
0.15530996,44.213753,1563.4293,0.0010272503,48.794212,-0.042367183,0.0
0.11282184,57.734047,1441.7749,0.001372689,53.74175,-0.026931321,0.0
0.12757602,73.03536,1201.092,0.0022345216,47.510582,-0.043642536,0.0
0.10790984,31.908749,1138.1791,0.0027986974,55.55015,-0.025121875,0.0
0.22399569,8.710325,1095.2557,0.0041755377,54.964966,-0.04716941,0.0
0.2264826,10.969828,1061.2397,0.0051549613,53.220074,-0.05637714,0.0
0.13911875,18.644562,1055.7234,0.0069148303,52.75582,-0.03441741,0.0
0.19423088,20.620836,1181.5146,0.008579543,59.14677,-0.04212547,0.0
0.22508773,9.815835,1230.7656,0.012854129,62.264954,-0.05353405,0.0
0.14748308,11.4853525,1484.1779,0.025313374,76.15025,-0.036865268,0.0
0.26429734,21.183968,1325.9512,0.06203418,70.60048,-0.03192202,0.0
0.15243606,29.919199,1405.2844,0.12338585,79.55153,-0.02547018,0.0
0.15382682,71.88764,2160.651,0.12043838,119.4152,-0.034087177,0.0
0.23047432,78.70668,1957.0077,0.19933815,116.49866,-0.032846827,0.0
0.24680181,289.19962,4563.4536,0.10420531,228.73181,-0.048695922,0.0
0.18498948,99.197716,3084.7551,0.15383436,164.28189,-0.037288878,0.0
0.2093722,124.78583,4430.6494,0.055510454,209.875,-0.037461333,0.0
0.20079932,109.28384,3850.7544,0.09320144,186.57542,-0.04008105,0.0
0.2503361,260.30353,10426.799,0.025553633,386.43774,-0.028477114,0.0
0.1708819,36.052086,11478.806,0.0014506489,427.6333,-0.025903946,0.0
0.18142755,61.518456,16170.825,0.00035666526,493.11435,-0.02329079,0.0
0.22814687,103.8052,16726.879,0.006010416,482.73422,-0.014203251,0.0
0.20223725,195.2838,21706.4,-0.00018399954,477.45526,-0.019969825,0.0
0.15901867,212.58919,15956.312,-0.0005189955,463.51056,-0.008970828,0.0
0.08989168,339.50946,16766.209,-0.00026465656,432.27496,-0.01201234,0.0
0.18912557,495.5689,17004.867,-0.00013707876,399.3467,-0.02175317,0.0
0.14066175,540.4867,13610.593,-0.002209276,377.52045,-0.016918989,0.0
0.15749276,507.52313,10750.282,-0.0008832395,379.04645,-0.016332643,0.0
0.12498571,530.53265,8468.092,-0.0010590672,314.6278,-0.0085737035,0.0
0.23287229,407.04062,6524.8477,0.0022042661,285.06915,-0.007060633,0.0
0.12405016,89.53827,5252.5713,0.0013268143,261.09808,-0.00887624,0.0
0.17446247,52.155037,5424.116,0.0006765872,271.35583,-0.013649747,0.0
0.13286832,279.77252,5434.0234,0.013137204,274.77814,-0.011868214,0.0
0.15856382,771.6727,5653.3403,-0.024839167,274.2968,-0.020096613,0.0
0.14818962,236.59932,4307.271,0.0072854906,212.48047,-0.008314077,0.0
0.23379579,110.176186,4317.907,-0.00094992516,214.31808,-0.022469314,0.0
0.080814414,224.6398,4380.7686,-0.0017034471,209.37544,-0.01142478,0.0
