epi,t,reward,normo,hypo,sev_hypo,hyper,lgbi,hgbi,ri,sev_hyper,aBGP_rmse,cBGP_rmse
0,33,15.188786,63.63636363636363,30.303030303030305,6.0606060606060606,0.0,9.934522,0.883717,10.818238,0.0,0,0
1,21,3.5991535,66.66666666666667,19.047619047619047,14.285714285714286,0.0,14.778524,2.766239,17.544764,0.0,0,0
2,30,11.804255,66.66666666666667,10.0,23.333333333333332,0.0,15.741131,1.4363923,17.177523,0.0,0,0
3,27,9.21377,74.07407407407408,7.407407407407407,18.51851851851852,0.0,15.753061,2.7155514,18.468613,0.0,0,0
4,21,3.752285,66.66666666666667,14.285714285714286,19.047619047619047,0.0,11.354732,0.5632316,11.917963,0.0,0,0
5,31,12.749834,74.19354838709677,6.451612903225806,19.35483870967742,0.0,15.843183,1.5908723,17.434055,0.0,0,0
6,20,2.5410042,70.0,5.0,25.0,0.0,17.473663,2.4330153,19.90668,0.0,0,0
7,26,8.636198,73.07692307692308,15.384615384615385,11.538461538461538,0.0,14.1188545,1.2802861,15.39914,0.0,0,0
8,34,15.768162,76.47058823529412,5.882352941176471,17.647058823529413,0.0,13.701519,2.335875,16.037394,0.0,0,0
9,30,12.581062,76.66666666666667,13.333333333333334,10.0,0.0,10.109232,1.8922517,12.001484,0.0,0,0
10,22,4.4723225,77.27272727272727,4.545454545454546,18.181818181818183,0.0,14.287802,3.0658789,17.35368,0.0,0,0
11,33,14.759979,75.75757575757575,3.0303030303030303,21.21212121212121,0.0,16.89564,1.3139132,18.209553,0.0,0,0
12,22,4.6845913,72.72727272727273,9.090909090909092,13.636363636363637,4.545454545454546,13.524774,3.688591,17.213364,0.0,0,0
13,28,10.388704,75.0,14.285714285714286,10.714285714285714,0.0,11.022797,2.6081657,13.630962,0.0,0,0
14,29,11.483974,79.3103448275862,6.896551724137931,13.793103448275861,0.0,12.297575,1.8660951,14.16367,0.0,0,0
15,27,10.002687,81.48148148148148,7.407407407407407,11.11111111111111,0.0,8.85985,1.0648978,9.924747,0.0,0,0
16,25,7.575897,76.0,12.0,12.0,0.0,12.398772,2.4425597,14.8413315,0.0,0,0
17,33,15.431412,87.87878787878788,6.0606060606060606,6.0606060606060606,0.0,8.796469,3.4723263,12.268795,0.0,0,0
18,31,13.308353,83.87096774193549,3.225806451612903,12.903225806451612,0.0,11.755839,3.0251603,14.781,0.0,0,0
19,25,8.024994,84.0,8.0,8.0,0.0,11.262404,2.1431537,13.405558,0.0,0,0
20,31,12.830763,74.19354838709677,9.67741935483871,16.129032258064516,0.0,13.748018,3.0495515,16.79757,0.0,0,0
21,28,10.156059,67.85714285714286,10.714285714285714,10.714285714285714,10.714285714285714,14.895375,4.085928,18.981304,0.0,0,0
22,39,20.800766,74.35897435897436,7.6923076923076925,17.94871794871795,0.0,10.910354,0.44207814,11.352432,0.0,0,0
23,34,16.345648,79.41176470588235,11.764705882352942,8.823529411764707,0.0,10.822331,2.1692896,12.991621,0.0,0,0
24,26,8.986395,80.76923076923077,7.6923076923076925,11.538461538461538,0.0,10.715206,1.4428481,12.158054,0.0,0,0
25,25,8.126858,84.0,8.0,8.0,0.0,9.733563,1.8756938,11.609257,0.0,0,0
26,26,8.73914,76.92307692307692,11.538461538461538,11.538461538461538,0.0,10.78225,1.1059253,11.888176,0.0,0,0
27,34,16.051105,76.47058823529412,8.823529411764707,14.705882352941176,0.0,15.135554,1.72515,16.860704,0.0,0,0
28,25,7.4629707,72.0,12.0,16.0,0.0,13.993992,1.8382573,15.832249,0.0,0,0
29,28,10.937216,82.14285714285714,7.142857142857143,10.714285714285714,0.0,13.007395,0.79730195,13.804697,0.0,0,0
30,26,8.871038,84.61538461538461,3.8461538461538463,11.538461538461538,0.0,11.164706,1.8818586,13.046565,0.0,0,0
31,28,10.806711,85.71428571428571,3.5714285714285716,10.714285714285714,0.0,11.32284,2.4578142,13.780654,0.0,0,0
32,28,11.090187,85.71428571428571,7.142857142857143,7.142857142857143,0.0,9.134353,1.6140194,10.748372,0.0,0,0
33,23,5.5907307,73.91304347826087,8.695652173913043,17.391304347826086,0.0,16.47973,1.0968076,17.576538,0.0,0,0
34,24,6.8263617,79.16666666666667,8.333333333333334,12.5,0.0,13.905092,1.1752976,15.08039,0.0,0,0
35,27,9.916386,81.48148148148148,11.11111111111111,7.407407407407407,0.0,8.763125,2.2790616,11.042187,0.0,0,0
36,26,8.805813,84.61538461538461,3.8461538461538463,11.538461538461538,0.0,12.108316,2.2797298,14.388046,0.0,0,0
37,32,14.477915,75.0,12.5,12.5,0.0,12.658511,0.7284635,13.386974,0.0,0,0
38,28,10.633347,82.14285714285714,3.5714285714285716,14.285714285714286,0.0,12.628234,1.4536161,14.08185,0.0,0,0
39,32,14.185021,71.875,18.75,9.375,0.0,11.6784,1.357798,13.036198,0.0,0,0
40,25,7.522732,76.0,12.0,12.0,0.0,13.706333,2.5059035,16.212236,0.0,0,0
41,34,16.56818,82.3529411764706,8.823529411764707,8.823529411764707,0.0,11.807175,1.3245906,13.131765,0.0,0,0
42,30,11.207867,63.333333333333336,10.0,26.666666666666668,0.0,16.74493,1.3218,18.06673,0.0,0,0
43,36,17.84568,77.77777777777777,8.333333333333334,13.88888888888889,0.0,11.8171215,3.2224102,15.039532,0.0,0,0
44,22,4.471302,68.18181818181819,13.636363636363637,18.181818181818183,0.0,16.31261,2.3221996,18.63481,0.0,0,0
45,37,18.526676,70.27027027027027,8.108108108108109,21.62162162162162,0.0,12.943202,2.1804464,15.123649,0.0,0,0
46,19,2.183855,78.94736842105263,10.526315789473685,10.526315789473685,0.0,14.707321,1.4019126,16.109234,0.0,0,0
47,27,10.157267,85.18518518518519,7.407407407407407,7.407407407407407,0.0,11.189698,1.1414288,12.331127,0.0,0,0
48,32,14.093309,75.0,9.375,15.625,0.0,12.58746,0.98569477,13.573154,0.0,0,0
49,28,10.483839,82.14285714285714,7.142857142857143,10.714285714285714,0.0,12.328273,2.6125026,14.940775,0.0,0,0
50,22,4.71187,77.27272727272727,9.090909090909092,13.636363636363637,0.0,16.109325,2.7195375,18.828863,0.0,0,0
51,24,6.7790985,79.16666666666667,8.333333333333334,12.5,0.0,13.841349,3.0936327,16.934982,0.0,0,0
52,28,10.745943,85.71428571428571,3.5714285714285716,10.714285714285714,0.0,9.6426935,2.9420927,12.584786,0.0,0,0
