epi,t,reward,normo,hypo,sev_hypo,hyper,lgbi,hgbi,ri,sev_hyper,aBGP_rmse,cBGP_rmse
0,25,7.951206,76.0,16.0,8.0,0.0,10.969555,0.8763358,11.845891,0.0,0,0
1,30,12.417631,83.33333333333333,3.3333333333333335,13.333333333333334,0.0,10.636202,2.965617,13.601819,0.0,0,0
2,23,6.242342,86.95652173913044,4.3478260869565215,8.695652173913043,0.0,8.470705,2.247799,10.718504,0.0,0,0
3,34,15.664066,67.6470588235294,17.647058823529413,14.705882352941176,0.0,13.114587,2.1900218,15.304608,0.0,0,0
4,37,18.343426,70.27027027027027,8.108108108108109,21.62162162162162,0.0,14.653355,2.1032164,16.75657,0.0,0,0
5,30,12.145765,73.33333333333333,13.333333333333334,13.333333333333334,0.0,15.161357,2.310696,17.472054,0.0,0,0
6,35,17.262863,80.0,11.428571428571429,8.571428571428571,0.0,12.503248,2.2401648,14.743413,0.0,0,0
7,20,3.0598507,80.0,5.0,15.0,0.0,14.789915,2.202976,16.992891,0.0,0,0
8,26,8.729185,84.61538461538461,3.8461538461538463,11.538461538461538,0.0,11.937112,3.399034,15.336145,0.0,0,0
9,32,14.128721,75.0,12.5,12.5,0.0,13.5217905,1.9959826,15.517773,0.0,0,0
10,22,4.796734,72.72727272727273,9.090909090909092,18.181818181818183,0.0,13.515085,0.89093226,14.406017,0.0,0,0
11,23,5.507145,65.21739130434783,8.695652173913043,13.043478260869565,13.043478260869565,13.601122,3.9537442,17.554867,0.0,0,0
12,31,12.721987,67.74193548387096,9.67741935483871,22.580645161290324,0.0,15.042955,1.6798605,16.722816,0.0,0,0
13,38,19.946583,78.94736842105263,7.894736842105263,13.157894736842104,0.0,11.446353,1.3661412,12.812494,0.0,0,0
14,29,11.6503105,82.75862068965517,6.896551724137931,10.344827586206897,0.0,9.458345,2.1584306,11.6167755,0.0,0,0
15,30,12.25326,76.66666666666667,10.0,13.333333333333334,0.0,12.341446,2.5003195,14.841765,0.0,0,0
16,30,12.224995,70.0,16.666666666666668,13.333333333333334,0.0,12.304119,1.3389126,13.643032,0.0,0,0
17,29,11.970242,89.65517241379311,3.4482758620689653,6.896551724137931,0.0,10.257137,2.4405174,12.697655,0.0,0,0
18,23,5.773081,78.26086956521739,8.695652173913043,13.043478260869565,0.0,13.208219,2.21141,15.419628,0.0,0,0
19,35,16.7355,74.28571428571429,11.428571428571429,14.285714285714286,0.0,13.137447,1.6506196,14.788067,0.0,0,0
20,25,6.742111,64.0,8.0,28.0,0.0,19.67942,2.1323724,21.811792,0.0,0,0
21,30,12.098959,73.33333333333333,6.666666666666667,20.0,0.0,13.435148,0.94609106,14.381239,0.0,0,0
22,29,11.621101,79.3103448275862,6.896551724137931,13.793103448275861,0.0,13.0117,1.1694174,14.181117,0.0,0,0
23,27,9.144962,70.37037037037037,7.407407407407407,22.22222222222222,0.0,17.36793,1.004217,18.372147,0.0,0,0
24,32,14.896478,84.375,6.25,9.375,0.0,9.511564,0.851955,10.36352,0.0,0,0
25,28,10.651707,82.14285714285714,7.142857142857143,10.714285714285714,0.0,10.751808,2.7462268,13.498035,0.0,0,0
26,33,14.40283,75.75757575757575,3.0303030303030303,21.21212121212121,0.0,21.377047,2.8471262,24.224173,0.0,0,0
27,23,5.447628,60.869565217391305,26.08695652173913,13.043478260869565,0.0,13.58609,1.5799823,15.166073,0.0,0,0
28,30,11.981022,70.0,10.0,20.0,0.0,16.956978,1.1502686,18.107246,0.0,0,0
29,26,8.928881,80.76923076923077,7.6923076923076925,11.538461538461538,0.0,12.873957,1.0324191,13.906376,0.0,0,0
30,29,11.858154,82.75862068965517,6.896551724137931,10.344827586206897,0.0,11.278154,1.53179,12.809944,0.0,0,0
31,24,7.01017,83.33333333333333,8.333333333333334,8.333333333333334,0.0,11.8075905,2.6670682,14.474659,0.0,0,0
32,27,9.835899,81.48148148148148,7.407407407407407,11.11111111111111,0.0,12.445657,1.722652,14.168308,0.0,0,0
33,36,19.132698,88.88888888888889,5.555555555555555,5.555555555555555,0.0,4.6531053,1.9185096,6.5716147,0.0,0,0
34,35,16.153534,68.57142857142857,8.571428571428571,20.0,2.857142857142857,16.443962,3.136698,19.58066,0.0,0,0
35,23,5.9050407,78.26086956521739,8.695652173913043,13.043478260869565,0.0,13.221487,1.1866361,14.408123,0.0,0,0
36,28,10.719151,85.71428571428571,3.5714285714285716,10.714285714285714,0.0,10.869904,2.7441976,13.614101,0.0,0,0
37,26,8.933903,84.61538461538461,7.6923076923076925,7.6923076923076925,0.0,9.625026,2.0726676,11.697693,0.0,0,0
38,25,7.5298653,76.0,8.0,16.0,0.0,13.987723,2.2338655,16.221588,0.0,0,0
39,26,8.485294,76.92307692307692,7.6923076923076925,15.384615384615385,0.0,14.376629,2.0967417,16.47337,0.0,0,0
40,24,7.0646195,79.16666666666667,8.333333333333334,12.5,0.0,13.0074415,0.9627883,13.97023,0.0,0,0
41,30,12.50396,80.0,13.333333333333334,6.666666666666667,0.0,12.355677,3.1267204,15.482397,0.0,0,0
42,31,12.943039,77.41935483870968,9.67741935483871,12.903225806451612,0.0,11.909413,4.532942,16.442356,0.0,0,0
43,21,4.0548897,80.95238095238095,4.761904761904762,14.285714285714286,0.0,14.220543,1.4538345,15.674377,0.0,0,0
44,29,11.099703,79.3103448275862,6.896551724137931,13.793103448275861,0.0,12.627879,3.422866,16.050745,0.0,0,0
45,29,11.676271,75.86206896551724,13.793103448275861,10.344827586206897,0.0,8.158919,1.5486882,9.707607,0.0,0,0
46,28,10.349426,75.0,14.285714285714286,10.714285714285714,0.0,12.084985,2.4274478,14.512432,0.0,0,0
47,31,14.045935,90.3225806451613,3.225806451612903,6.451612903225806,0.0,8.658832,2.2367074,10.895539,0.0,0,0
48,28,10.617941,78.57142857142857,10.714285714285714,10.714285714285714,0.0,11.606395,1.6968831,13.303278,0.0,0,0
49,30,12.416847,76.66666666666667,6.666666666666667,16.666666666666668,0.0,14.01388,0.83851784,14.852398,0.0,0,0
50,25,7.693012,80.0,8.0,12.0,0.0,11.282279,2.5236685,13.805947,0.0,0,0
51,26,8.570854,76.92307692307692,7.6923076923076925,15.384615384615385,0.0,13.369416,2.2652576,15.634674,0.0,0,0
52,30,12.162336,76.66666666666667,6.666666666666667,16.666666666666668,0.0,17.52154,1.5334793,19.05502,0.0,0,0
53,25,7.709587,84.0,4.0,12.0,0.0,12.256841,3.5540574,15.810898,0.0,0,0
54,23,5.7409096,73.91304347826087,13.043478260869565,13.043478260869565,0.0,12.492371,1.2852036,13.777575,0.0,0,0
55,33,14.4262905,63.63636363636363,12.121212121212121,24.242424242424242,0.0,12.758866,1.3403853,14.099252,0.0,0,0
56,34,16.565718,85.29411764705883,5.882352941176471,8.823529411764707,0.0,11.203342,1.7101202,12.913463,0.0,0,0
57,28,10.5890465,82.14285714285714,7.142857142857143,10.714285714285714,0.0,11.482491,2.5896358,14.072126,0.0,0,0
58,34,15.907875,76.47058823529412,17.647058823529413,5.882352941176471,0.0,11.754873,4.1368904,15.891764,0.0,0,0
59,22,4.5235443,72.72727272727273,9.090909090909092,18.181818181818183,0.0,14.466091,2.422196,16.888287,0.0,0,0
60,27,9.405823,77.77777777777777,7.407407407407407,14.814814814814815,0.0,12.213237,2.7689252,14.982162,0.0,0,0
61,32,14.555471,75.0,18.75,6.25,0.0,10.055804,1.8648952,11.920699,0.0,0,0
62,33,14.399937,63.63636363636363,15.151515151515152,21.21212121212121,0.0,12.773598,0.42805377,13.201652,0.0,0,0
63,26,8.032055,69.23076923076923,11.538461538461538,11.538461538461538,7.6923076923076925,12.47622,6.0842657,18.560486,0.0,0,0
64,38,20.0569,71.05263157894737,18.42105263157895,10.526315789473685,0.0,11.3677435,0.8644509,12.232194,0.0,0,0
65,26,8.636194,76.92307692307692,11.538461538461538,11.538461538461538,0.0,10.905211,2.5187871,13.423999,0.0,0,0
66,30,12.099768,76.66666666666667,6.666666666666667,16.666666666666668,0.0,15.278083,2.4883316,17.766415,0.0,0,0
67,30,11.687944,73.33333333333333,6.666666666666667,20.0,0.0,14.488619,2.6764235,17.165043,0.0,0,0
68,24,6.6824017,83.33333333333333,4.166666666666667,12.5,0.0,13.085722,3.474812,16.560534,0.0,0,0
69,31,13.595955,87.09677419354838,6.451612903225806,6.451612903225806,0.0,9.788784,3.4582405,13.247025,0.0,0,0
70,24,6.6285906,70.83333333333333,12.5,16.666666666666668,0.0,12.422394,1.1235309,13.545925,0.0,0,0
71,22,4.372673,72.72727272727273,9.090909090909092,18.181818181818183,0.0,18.30973,2.7740564,21.083786,0.0,0,0
72,32,14.539707,87.5,3.125,9.375,0.0,9.532978,3.1698318,12.70281,0.0,0,0
73,24,6.9712634,79.16666666666667,8.333333333333334,12.5,0.0,11.048161,1.4994448,12.5476055,0.0,0,0
74,35,17.354225,77.14285714285714,17.142857142857142,5.714285714285714,0.0,9.013016,1.9654204,10.978436,0.0,0,0
75,24,6.749797,83.33333333333333,8.333333333333334,8.333333333333334,0.0,10.447561,3.7103348,14.157896,0.0,0,0
76,26,9.096729,84.61538461538461,7.6923076923076925,7.6923076923076925,0.0,10.809527,1.2741859,12.083714,0.0,0,0
77,25,7.5841637,68.0,24.0,8.0,0.0,11.702971,1.4427835,13.145755,0.0,0,0
78,27,9.266699,74.07407407407408,7.407407407407407,18.51851851851852,0.0,14.595774,1.5497965,16.14557,0.0,0,0
79,34,16.527094,82.3529411764706,11.764705882352942,5.882352941176471,0.0,9.805455,2.4069924,12.212448,0.0,0,0
80,28,11.080399,85.71428571428571,7.142857142857143,7.142857142857143,0.0,8.637746,1.5849259,10.2226715,0.0,0,0
81,31,13.462128,77.41935483870968,16.129032258064516,6.451612903225806,0.0,11.333018,2.8510888,14.184107,0.0,0,0
82,23,5.846718,82.6086956521739,4.3478260869565215,13.043478260869565,0.0,11.791691,3.3755174,15.167208,0.0,0,0
83,28,10.769247,85.71428571428571,7.142857142857143,7.142857142857143,0.0,11.571988,2.9509563,14.522944,0.0,0,0
84,35,17.620743,80.0,14.285714285714286,5.714285714285714,0.0,10.880355,1.5732608,12.453615,0.0,0,0
85,33,15.090553,78.78787878787878,9.090909090909092,12.121212121212121,0.0,12.530992,2.8217828,15.352775,0.0,0,0
86,25,7.8134003,80.0,8.0,12.0,0.0,13.37205,2.278246,15.650296,0.0,0,0
87,42,24.291508,85.71428571428571,2.380952380952381,7.142857142857143,4.761904761904762,8.477666,3.029549,11.507215,0.0,0,0
88,32,14.744196,84.375,6.25,9.375,0.0,10.355065,1.9728277,12.327893,0.0,0,0
89,33,15.27536,75.75757575757575,12.121212121212121,12.121212121212121,0.0,9.8930435,1.5103196,11.403363,0.0,0,0
90,30,12.038712,70.0,13.333333333333334,16.666666666666668,0.0,13.284714,1.5481213,14.832835,0.0,0,0
91,24,6.830312,75.0,8.333333333333334,16.666666666666668,0.0,12.566234,0.35962585,12.925859,0.0,0,0
92,28,10.401484,64.28571428571429,25.0,10.714285714285714,0.0,11.403824,1.2924732,12.696297,0.0,0,0
93,27,9.371962,74.07407407407408,14.814814814814815,11.11111111111111,0.0,13.199173,2.8354197,16.034592,0.0,0,0
94,34,16.645103,85.29411764705883,5.882352941176471,8.823529411764707,0.0,11.496493,1.6210723,13.117565,0.0,0,0
95,25,7.103031,68.0,8.0,16.0,8.0,16.721096,4.039315,20.76041,0.0,0,0
96,27,8.838009,70.37037037037037,7.407407407407407,22.22222222222222,0.0,18.358397,2.2658923,20.624289,0.0,0,0
97,28,10.239992,75.0,10.714285714285714,14.285714285714286,0.0,12.539906,3.4061823,15.946088,0.0,0,0
98,28,9.859329,67.85714285714286,10.714285714285714,21.428571428571427,0.0,15.549859,2.461433,18.011292,0.0,0,0
99,24,7.2324834,87.5,4.166666666666667,8.333333333333334,0.0,8.393205,1.71972,10.112925,0.0,0,0
100,26,8.728867,80.76923076923077,7.6923076923076925,11.538461538461538,0.0,13.991108,2.313501,16.30461,0.0,0,0
101,35,17.255997,80.0,8.571428571428571,11.428571428571429,0.0,12.390193,1.8594818,14.249675,0.0,0,0
102,31,13.511997,80.64516129032258,9.67741935483871,9.67741935483871,0.0,14.439262,2.0253537,16.464617,0.0,0,0
103,36,18.426899,83.33333333333333,8.333333333333334,8.333333333333334,0.0,9.501579,1.7844042,11.285983,0.0,0,0
104,30,11.821535,70.0,10.0,20.0,0.0,15.280697,1.7816869,17.062384,0.0,0,0
105,24,7.1317472,87.5,4.166666666666667,8.333333333333334,0.0,8.829415,2.984497,11.813912,0.0,0,0
106,24,6.3547926,70.83333333333333,12.5,16.666666666666668,0.0,14.228717,2.657737,16.886454,0.0,0,0
107,33,15.710514,84.84848484848484,6.0606060606060606,9.090909090909092,0.0,10.513691,1.5202824,12.033974,0.0,0,0
108,28,10.367172,78.57142857142857,10.714285714285714,10.714285714285714,0.0,12.099312,2.2864246,14.385736,0.0,0,0
109,23,5.5059032,73.91304347826087,8.695652173913043,17.391304347826086,0.0,13.211136,1.4881039,14.69924,0.0,0,0
110,29,11.448307,79.3103448275862,6.896551724137931,13.793103448275861,0.0,12.930735,1.574465,14.505199,0.0,0,0
111,32,14.4822,87.5,3.125,9.375,0.0,14.537971,3.4566944,17.994665,0.0,0,0
112,35,16.184883,71.42857142857143,5.714285714285714,22.857142857142858,0.0,16.838263,2.6358612,19.474123,0.0,0,0
113,31,13.362316,77.41935483870968,9.67741935483871,12.903225806451612,0.0,14.0300255,1.7644868,15.794512,0.0,0,0
114,22,5.017294,81.81818181818181,9.090909090909092,9.090909090909092,0.0,10.9684515,2.9004264,13.868877,0.0,0,0
115,24,7.12125,83.33333333333333,8.333333333333334,8.333333333333334,0.0,11.986682,1.8836248,13.870307,0.0,0,0
116,23,6.0135193,82.6086956521739,4.3478260869565215,13.043478260869565,0.0,11.382883,0.96562654,12.34851,0.0,0,0
117,29,11.154356,75.86206896551724,6.896551724137931,17.24137931034483,0.0,12.859918,2.7499108,15.609829,0.0,0,0
118,29,11.791769,82.75862068965517,6.896551724137931,10.344827586206897,0.0,10.288618,1.5756563,11.864274,0.0,0,0
119,30,11.779491,76.66666666666667,3.3333333333333335,20.0,0.0,19.33604,2.443273,21.779314,0.0,0,0
120,24,6.4753346,70.83333333333333,12.5,16.666666666666668,0.0,13.998142,2.8161495,16.814291,0.0,0,0
121,34,16.213451,79.41176470588235,5.882352941176471,14.705882352941176,0.0,12.306562,2.2236207,14.530183,0.0,0,0
122,29,11.58243,79.3103448275862,6.896551724137931,13.793103448275861,0.0,14.549106,1.1025282,15.651634,0.0,0,0
123,26,8.357927,73.07692307692308,7.6923076923076925,19.23076923076923,0.0,15.169876,1.4489661,16.618843,0.0,0,0
124,32,14.493775,87.5,6.25,6.25,0.0,10.322148,3.2440314,13.566179,0.0,0,0
125,29,11.626606,75.86206896551724,13.793103448275861,10.344827586206897,0.0,10.420516,1.3687421,11.789258,0.0,0,0
126,24,6.3043833,75.0,4.166666666666667,20.833333333333332,0.0,18.147203,2.9567225,21.103926,0.0,0,0
