epi,t,reward,normo,hypo,sev_hypo,hyper,lgbi,hgbi,ri,sev_hyper,aBGP_rmse,cBGP_rmse
0,27,9.704393,77.77777777777777,7.407407407407407,14.814814814814815,0.0,13.134646,1.4509124,14.585559,0.0,0,0
1,23,5.668991,73.91304347826087,8.695652173913043,17.391304347826086,0.0,13.172847,1.1963323,14.369179,0.0,0,0
2,29,10.988548,68.96551724137932,17.24137931034483,13.793103448275861,0.0,14.4651165,2.4487295,16.913845,0.0,0,0
3,26,8.794571,80.76923076923077,7.6923076923076925,11.538461538461538,0.0,13.0119095,1.785211,14.79712,0.0,0,0
4,28,10.579494,82.14285714285714,7.142857142857143,10.714285714285714,0.0,14.051125,2.2037592,16.254883,0.0,0,0
5,30,12.1897545,76.66666666666667,6.666666666666667,16.666666666666668,0.0,12.794051,1.8147992,14.6088505,0.0,0,0
6,30,12.812078,86.66666666666667,6.666666666666667,6.666666666666667,0.0,8.508322,2.724969,11.233291,0.0,0,0
7,24,7.1623707,83.33333333333333,8.333333333333334,8.333333333333334,0.0,13.8221,1.3790109,15.201111,0.0,0,0
8,28,10.309736,82.14285714285714,7.142857142857143,10.714285714285714,0.0,14.24322,4.155352,18.398573,0.0,0,0
9,34,16.54015,85.29411764705883,5.882352941176471,8.823529411764707,0.0,11.537222,1.1295147,12.666737,0.0,0,0
10,30,11.921017,76.66666666666667,6.666666666666667,16.666666666666668,0.0,15.416772,3.3884177,18.80519,0.0,0,0
11,26,8.784784,84.61538461538461,7.6923076923076925,7.6923076923076925,0.0,11.187052,2.9868777,14.173929,0.0,0,0
12,22,4.826889,81.81818181818181,9.090909090909092,9.090909090909092,0.0,12.179709,3.5257673,15.705477,0.0,0,0
13,30,12.56505,86.66666666666667,3.3333333333333335,10.0,0.0,10.22194,3.2755218,13.497461,0.0,0,0
14,30,12.212463,80.0,6.666666666666667,13.333333333333334,0.0,13.918126,2.769186,16.687313,0.0,0,0
15,27,9.545671,77.77777777777777,7.407407407407407,14.814814814814815,0.0,15.225505,1.8414235,17.066929,0.0,0,0
16,26,9.095968,84.61538461538461,3.8461538461538463,11.538461538461538,0.0,8.058461,1.8306508,9.889112,0.0,0,0
17,29,10.603947,65.51724137931035,10.344827586206897,24.137931034482758,0.0,15.507495,3.2193239,18.726818,0.0,0,0
18,27,9.648432,81.48148148148148,7.407407407407407,11.11111111111111,0.0,15.023607,2.1153522,17.13896,0.0,0,0
19,29,10.416969,62.06896551724138,10.344827586206897,27.586206896551722,0.0,16.22097,1.7178789,17.938848,0.0,0,0
20,26,8.571316,76.92307692307692,7.6923076923076925,15.384615384615385,0.0,13.111161,2.334324,15.445485,0.0,0,0
21,31,13.8620205,80.64516129032258,9.67741935483871,9.67741935483871,0.0,10.692694,0.7186643,11.411358,0.0,0,0
22,33,15.461765,75.75757575757575,15.151515151515152,9.090909090909092,0.0,10.942975,1.5445137,12.487489,0.0,0,0
23,29,11.896786,86.20689655172414,6.896551724137931,6.896551724137931,0.0,7.449231,3.226634,10.675865,0.0,0,0
24,32,13.965937,71.875,15.625,12.5,0.0,14.524109,2.1202986,16.644407,0.0,0,0
25,34,15.918491,73.52941176470588,5.882352941176471,20.58823529411765,0.0,14.524819,1.4932964,16.018116,0.0,0,0
26,25,8.098,84.0,8.0,8.0,0.0,12.099774,1.766835,13.86661,0.0,0,0
27,29,11.149809,72.41379310344827,17.24137931034483,10.344827586206897,0.0,11.53234,2.9698346,14.502174,0.0,0,0
28,22,5.1401253,81.81818181818181,4.545454545454546,13.636363636363637,0.0,11.276346,0.9484522,12.224798,0.0,0,0
29,26,8.991402,84.61538461538461,7.6923076923076925,7.6923076923076925,0.0,10.65506,2.0286856,12.683745,0.0,0,0
30,28,10.3962,71.42857142857143,17.857142857142858,10.714285714285714,0.0,13.506515,2.2762983,15.782813,0.0,0,0
31,28,10.756605,82.14285714285714,10.714285714285714,7.142857142857143,0.0,9.699265,2.8803747,12.579639,0.0,0,0
32,29,11.905546,82.75862068965517,10.344827586206897,6.896551724137931,0.0,10.401831,1.7482814,12.150112,0.0,0,0
33,23,5.88941,73.91304347826087,13.043478260869565,13.043478260869565,0.0,11.482173,0.88360924,12.365782,0.0,0,0
34,25,7.862957,80.0,8.0,12.0,0.0,13.253949,1.2871985,14.541147,0.0,0,0
35,25,8.08535,84.0,8.0,8.0,0.0,13.208995,2.0414388,15.250434,0.0,0,0
