epi,t,reward,normo,hypo,sev_hypo,hyper,lgbi,hgbi,ri,sev_hyper,aBGP_rmse,cBGP_rmse
0,29,11.410145,72.41379310344827,20.689655172413794,6.896551724137931,0.0,10.610116,3.2375631,13.847679,0.0,0,0
1,32,14.407261,78.125,12.5,9.375,0.0,11.684282,1.8785235,13.562806,0.0,0,0
2,34,15.966913,76.47058823529412,5.882352941176471,17.647058823529413,0.0,14.255141,1.4514823,15.706623,0.0,0,0
3,37,19.943111,89.1891891891892,5.405405405405405,5.405405405405405,0.0,10.336383,1.1401585,11.4765415,0.0,0,0
4,29,11.686995,75.86206896551724,13.793103448275861,10.344827586206897,0.0,13.199597,1.3466065,14.546204,0.0,0,0
5,27,9.585819,74.07407407407408,11.11111111111111,14.814814814814815,0.0,11.97802,0.7829679,12.760987,0.0,0,0
6,32,14.693035,84.375,6.25,9.375,0.0,12.083055,1.7103355,13.79339,0.0,0,0
7,22,4.7325916,72.72727272727273,4.545454545454546,13.636363636363637,9.090909090909092,11.953688,3.778366,15.732054,0.0,0,0
8,26,8.576778,80.76923076923077,7.6923076923076925,11.538461538461538,0.0,12.35093,2.972677,15.323607,0.0,0,0
9,22,4.6133137,72.72727272727273,9.090909090909092,18.181818181818183,0.0,15.022959,1.0496745,16.072634,0.0,0,0
10,25,7.5410786,76.0,8.0,16.0,0.0,16.230198,1.447765,17.677963,0.0,0,0
11,29,11.612452,72.41379310344827,17.24137931034483,10.344827586206897,0.0,11.295526,1.2498406,12.545366,0.0,0,0
12,29,11.75079,82.75862068965517,6.896551724137931,10.344827586206897,0.0,12.298642,1.542953,13.841595,0.0,0,0
13,25,7.8466434,72.0,20.0,8.0,0.0,11.528674,1.9044602,13.433134,0.0,0,0
14,25,7.629776,72.0,16.0,12.0,0.0,13.253054,0.23862477,13.491678,0.0,0,0
15,27,9.175722,70.37037037037037,14.814814814814815,14.814814814814815,0.0,14.302545,2.4520535,16.754599,0.0,0,0
16,32,14.269369,71.875,21.875,6.25,0.0,11.456861,2.8210757,14.277936,0.0,0,0
17,35,17.124691,80.0,5.714285714285714,14.285714285714286,0.0,15.555786,2.271753,17.82754,0.0,0,0
18,33,15.884216,84.84848484848484,6.0606060606060606,9.090909090909092,0.0,9.5875,1.2542558,10.841755,0.0,0,0
19,28,10.046938,78.57142857142857,7.142857142857143,14.285714285714286,0.0,12.454357,4.7666926,17.22105,0.0,0,0
20,31,13.333591,77.41935483870968,9.67741935483871,12.903225806451612,0.0,12.426776,1.810684,14.23746,0.0,0,0
21,25,7.2781544,76.0,4.0,20.0,0.0,17.641188,2.2590346,19.900223,0.0,0,0
22,24,6.8289027,79.16666666666667,12.5,8.333333333333334,0.0,11.523588,2.858217,14.381805,0.0,0,0
23,24,6.989027,79.16666666666667,8.333333333333334,12.5,0.0,9.682927,1.2153621,10.898289,0.0,0,0
