policy_grad,value_grad,val_loss,exp_var,true_var,pi_loss,avg_rew
-0.0053917966,inf,1382.4868,0.0,0.0,0.0,0.0
-0.0040612537,inf,1753.2339,0.0,0.0,0.0,0.0
-0.008035234,inf,1422.8721,0.0,0.0,0.0,0.0
-0.004171278,inf,1809.2393,0.0,0.0,0.0,0.0
-0.004978178,inf,2659.1824,0.0,0.0,0.0,0.0
-0.00497158,inf,2328.11,0.0,0.0,0.0,0.0
-0.005024821,inf,2096.626,0.0,0.0,0.0,0.0
-0.0061943717,inf,2002.892,0.0,0.0,0.0,0.0
-0.0054505286,inf,2683.4983,0.0,0.0,0.0,0.0
-0.0018265992,inf,1611.8258,0.0,0.0,0.0,0.0
-0.005013938,inf,1907.7595,0.0,0.0,0.0,0.0
-0.004564422,inf,1685.4906,0.0,0.0,0.0,0.0
-0.013302763,inf,1352.6914,0.0,0.0,0.0,0.0
-0.004881893,inf,2505.122,0.0,0.0,0.0,0.0
-0.00558899,inf,2296.3315,0.0,0.0,0.0,0.0
-0.01049606,inf,3162.5054,0.0,0.0,0.0,0.0
-0.0047487607,inf,2817.5623,0.0,0.0,0.0,0.0
-0.004981946,inf,1811.1348,0.0,0.0,0.0,0.0
-0.0053259633,inf,1233.9678,0.0,0.0,0.0,0.0
-0.004198739,inf,2391.4524,0.0,0.0,0.0,0.0
-0.006241417,inf,1795.7683,0.0,0.0,0.0,0.0
-0.0052153617,inf,1577.8616,0.0,0.0,0.0,0.0
-0.005291999,inf,835.48645,0.0,0.0,0.0,0.0
-0.004618174,inf,868.08136,0.0,0.0,0.0,0.0
-0.004349447,inf,1263.0135,0.0,0.0,0.0,0.0
-0.0049851406,inf,1953.7726,0.0,0.0,0.0,0.0
-0.003531383,inf,854.3975,0.0,0.0,0.0,0.0
-0.006301317,inf,1748.2432,0.0,0.0,0.0,0.0
-0.0062390976,inf,1315.39,0.0,0.0,0.0,0.0
-0.0054282146,inf,2410.8816,0.0,0.0,0.0,0.0
-0.0042888196,inf,4382.8374,0.0,0.0,0.0,0.0
-0.005507166,inf,3157.6714,0.0,0.0,0.0,0.0
-0.006847319,inf,2302.2737,0.0,0.0,0.0,0.0
-0.010406921,inf,4121.5967,0.0,0.0,0.0,0.0
-0.0031622988,inf,1451.0132,0.0,0.0,0.0,0.0
-0.0047412785,inf,1372.7771,0.0,0.0,0.0,0.0
-0.010043748,inf,894.1351,0.0,0.0,0.0,0.0
-0.005761767,inf,2891.6865,0.0,0.0,0.0,0.0
-0.0060581956,inf,3695.2305,0.0,0.0,0.0,0.0
-0.0060330303,inf,4283.5537,0.0,0.0,0.0,0.0
-0.005261864,inf,2858.1687,0.0,0.0,0.0,0.0
-0.0052798875,inf,2219.1665,0.0,0.0,0.0,0.0
-0.006332896,inf,1437.0887,0.0,0.0,0.0,0.0
-0.005326697,inf,6100.117,0.0,0.0,0.0,0.0
-0.00651511,inf,3051.286,0.0,0.0,0.0,0.0
-0.004987711,inf,3903.56,0.0,0.0,0.0,0.0
-0.014843287,inf,985.99915,0.0,0.0,0.0,0.0
-0.0060937316,inf,6768.2866,0.0,0.0,0.0,0.0
-0.006553349,inf,7375.826,0.0,0.0,0.0,0.0
-0.0043341136,inf,3667.303,0.0,0.0,0.0,0.0
-0.00430517,inf,2175.2705,0.0,0.0,0.0,0.0
-0.005002204,inf,606.98755,0.0,0.0,0.0,0.0
-0.0061369166,inf,840.7385,0.0,0.0,0.0,0.0
-0.012886305,inf,3481.2961,0.0,0.0,0.0,0.0
-0.0054166485,inf,5256.811,0.0,0.0,0.0,0.0
-0.0136369765,inf,4381.254,0.0,0.0,0.0,0.0
-3.835652e-06,inf,3729.6504,0.0,0.0,0.0,0.0
-2.7269125e-06,inf,938.42706,0.0,0.0,0.0,0.0
-1.1557713e-06,inf,1972.1737,0.0,0.0,0.0,0.0
4.703179e-08,inf,1771.4495,0.0,0.0,0.0,0.0
9.313226e-09,inf,1120.4039,0.0,0.0,0.0,0.0
2.7939677e-09,inf,2621.8318,0.0,0.0,0.0,0.0
-2.6077032e-08,inf,2152.1704,0.0,0.0,0.0,0.0
-3.7252903e-09,inf,1856.5914,0.0,0.0,0.0,0.0
3.9115548e-08,inf,949.299,0.0,0.0,0.0,0.0
-1.5832484e-08,inf,1344.082,0.0,0.0,0.0,0.0
-1.3038516e-08,inf,1960.3888,0.0,0.0,0.0,0.0
-3.7252903e-09,inf,4702.0864,0.0,0.0,0.0,0.0
2.2351742e-08,inf,774.8748,0.0,0.0,0.0,0.0
-7.450581e-09,inf,3349.8557,0.0,0.0,0.0,0.0
-1.6763806e-08,inf,1326.3461,0.0,0.0,0.0,0.0
-2.2351742e-08,inf,1591.1323,0.0,0.0,0.0,0.0
-1.3038516e-08,inf,1707.2852,0.0,0.0,0.0,0.0
1.8626451e-09,inf,1609.7487,0.0,0.0,0.0,0.0
1.8626451e-09,inf,1943.3218,0.0,0.0,0.0,0.0
-1.3969839e-09,inf,4055.414,0.0,0.0,0.0,0.0
2.7939677e-09,inf,1584.23,0.0,0.0,0.0,0.0
-2.2351742e-08,inf,860.4055,0.0,0.0,0.0,0.0
-1.5832484e-08,inf,2067.8535,0.0,0.0,0.0,0.0
-1.6763806e-08,inf,1112.4532,0.0,0.0,0.0,0.0
-5.5879354e-09,inf,1538.941,0.0,0.0,0.0,0.0
6.0535967e-09,inf,3729.7056,0.0,0.0,0.0,0.0
2.7939677e-08,inf,1329.8169,0.0,0.0,0.0,0.0
-4.656613e-10,inf,1647.2286,0.0,0.0,0.0,0.0
-1.3038516e-08,inf,1385.0504,0.0,0.0,0.0,0.0
-1.1641532e-08,inf,3782.7751,0.0,0.0,0.0,0.0
-4.1909516e-09,inf,1471.8422,0.0,0.0,0.0,0.0
-9.313226e-10,inf,1233.9276,0.0,0.0,0.0,0.0
-1.7695129e-08,inf,2883.9673,0.0,0.0,0.0,0.0
3.7252903e-09,inf,1110.7804,0.0,0.0,0.0,0.0
9.313226e-10,inf,2631.6423,0.0,0.0,0.0,0.0
4.8428774e-08,inf,1604.6357,0.0,0.0,0.0,0.0
-2.6077032e-08,inf,2467.5786,0.0,0.0,0.0,0.0
1.8626451e-08,inf,1992.2157,0.0,0.0,0.0,0.0
-1.816079e-08,inf,3024.5186,0.0,0.0,0.0,0.0
-1.3969839e-09,inf,2897.6406,0.0,0.0,0.0,0.0
-1.3038516e-08,inf,4296.46,0.0,0.0,0.0,0.0
5.5879354e-09,inf,3403.2886,0.0,0.0,0.0,0.0
2.9802322e-08,inf,2429.4033,0.0,0.0,0.0,0.0
9.313226e-10,inf,1442.5625,0.0,0.0,0.0,0.0
1.1175871e-07,inf,1471.0431,0.0,0.0,0.0,0.0
-3.7252903e-09,inf,3821.3074,0.0,0.0,0.0,0.0
1.0244548e-08,inf,4380.497,0.0,0.0,0.0,0.0
1.1175871e-08,inf,2354.1838,0.0,0.0,0.0,0.0
1.8626451e-09,inf,2719.6213,0.0,0.0,0.0,0.0
