epi,t,reward,normo,hypo,sev_hypo,hyper,lgbi,hgbi,ri,sev_hyper,aBGP_rmse,cBGP_rmse
0,37,18.922737,78.37837837837837,13.513513513513514,8.108108108108109,0.0,11.273497,3.4871786,14.760675,0.0,0,0
1,26,8.366959,73.07692307692308,11.538461538461538,15.384615384615385,0.0,13.29318,2.2007842,15.493965,0.0,0,0
2,33,15.489498,78.78787878787878,9.090909090909092,12.121212121212121,0.0,12.94643,1.0435208,13.989951,0.0,0,0
3,26,8.684492,80.76923076923077,7.6923076923076925,11.538461538461538,0.0,11.993707,2.5169249,14.510632,0.0,0,0
4,26,8.950081,80.76923076923077,7.6923076923076925,11.538461538461538,0.0,11.663724,1.628988,13.292712,0.0,0,0
5,30,12.259235,83.33333333333333,3.3333333333333335,10.0,3.3333333333333335,11.620184,4.440323,16.060507,0.0,0,0
6,34,16.95395,88.23529411764706,5.882352941176471,5.882352941176471,0.0,8.862459,1.9680761,10.830535,0.0,0,0
7,37,19.468483,81.08108108108108,8.108108108108109,10.81081081081081,0.0,11.015026,0.7158859,11.730912,0.0,0,0
8,26,8.9833355,80.76923076923077,11.538461538461538,7.6923076923076925,0.0,9.859787,0.8952837,10.755071,0.0,0,0
9,26,8.867664,80.76923076923077,11.538461538461538,7.6923076923076925,0.0,10.160485,2.1036527,12.264138,0.0,0,0
10,27,9.384323,77.77777777777777,11.11111111111111,11.11111111111111,0.0,13.651508,3.0949583,16.746468,0.0,0,0
11,22,5.1309223,81.81818181818181,9.090909090909092,9.090909090909092,0.0,11.699697,1.5205892,13.220285,0.0,0,0
12,34,16.062174,76.47058823529412,8.823529411764707,14.705882352941176,0.0,13.776134,1.3285217,15.104655,0.0,0,0
13,32,14.313412,71.875,18.75,9.375,0.0,12.445772,1.7783608,14.224133,0.0,0,0
14,26,8.867546,80.76923076923077,7.6923076923076925,11.538461538461538,0.0,11.68334,1.5247955,13.208136,0.0,0,0
15,31,13.308823,80.64516129032258,9.67741935483871,9.67741935483871,0.0,11.356659,3.3108776,14.667537,0.0,0,0
16,38,18.605186,60.526315789473685,13.157894736842104,26.31578947368421,0.0,15.668933,1.1414462,16.810379,0.0,0,0
17,25,7.610382,76.0,8.0,16.0,0.0,15.670056,1.3594146,17.02947,0.0,0,0
18,28,10.209972,64.28571428571429,28.571428571428573,7.142857142857143,0.0,11.0173235,1.8800128,12.897336,0.0,0,0
19,34,15.457718,61.76470588235294,23.529411764705884,14.705882352941176,0.0,12.3583145,2.5210354,14.87935,0.0,0,0
20,25,6.8274307,68.0,8.0,24.0,0.0,18.277735,3.8779292,22.155664,0.0,0,0
21,33,14.483181,69.6969696969697,3.0303030303030303,27.272727272727273,0.0,15.941593,1.0763942,17.017988,0.0,0,0
22,39,20.878082,71.7948717948718,15.384615384615385,12.820512820512821,0.0,10.098713,1.0678813,11.1665945,0.0,0,0
23,36,18.155064,77.77777777777777,5.555555555555555,16.666666666666668,0.0,12.333923,0.6801528,13.014076,0.0,0,0
24,32,14.404057,78.125,9.375,12.5,0.0,11.111676,1.7595371,12.871213,0.0,0,0
25,25,7.852913,88.0,4.0,8.0,0.0,9.473088,3.4081807,12.881269,0.0,0,0
26,42,23.358768,73.80952380952381,11.904761904761905,14.285714285714286,0.0,12.3522,2.5065558,14.858755,0.0,0,0
27,35,16.48384,77.14285714285714,8.571428571428571,14.285714285714286,0.0,14.4935465,4.1052027,18.59875,0.0,0,0
28,24,6.6963754,75.0,12.5,12.5,0.0,16.316917,2.2884173,18.605335,0.0,0,0
29,33,15.657715,87.87878787878788,3.0303030303030303,9.090909090909092,0.0,9.873773,1.7962223,11.669995,0.0,0,0
30,33,14.429619,75.75757575757575,3.0303030303030303,21.21212121212121,0.0,22.396568,2.2156544,24.612223,0.0,0,0
31,27,9.7302265,85.18518518518519,3.7037037037037037,11.11111111111111,0.0,10.189738,2.843976,13.033714,0.0,0,0
32,25,8.260719,84.0,8.0,8.0,0.0,10.512644,0.4643513,10.976995,0.0,0,0
33,32,14.632999,81.25,9.375,9.375,0.0,12.091443,1.3983009,13.489744,0.0,0,0
34,33,13.4698925,54.54545454545455,6.0606060606060606,33.333333333333336,6.0606060606060606,16.937426,4.0216036,20.95903,0.0,0,0
35,34,15.990227,76.47058823529412,2.9411764705882355,20.58823529411765,0.0,16.188396,1.3631399,17.551537,0.0,0,0
36,29,11.529245,79.3103448275862,10.344827586206897,10.344827586206897,0.0,11.565331,2.7304265,14.295758,0.0,0,0
37,46,26.852192,80.43478260869566,6.521739130434782,13.043478260869565,0.0,10.655376,3.7889614,14.444338,0.0,0,0
38,34,16.330633,85.29411764705883,5.882352941176471,8.823529411764707,0.0,10.529364,2.4795558,13.00892,0.0,0,0
39,30,12.641645,80.0,10.0,10.0,0.0,11.933403,1.7092328,13.642635,0.0,0,0
40,31,13.334671,83.87096774193549,6.451612903225806,9.67741935483871,0.0,12.599598,3.302648,15.902246,0.0,0,0
41,35,16.180729,68.57142857142857,5.714285714285714,25.714285714285715,0.0,14.480471,2.8033714,17.283842,0.0,0,0
42,31,13.116167,77.41935483870968,9.67741935483871,12.903225806451612,0.0,14.474826,2.7784152,17.25324,0.0,0,0
43,33,15.814751,87.87878787878788,6.0606060606060606,6.0606060606060606,0.0,9.282587,1.405761,10.688348,0.0,0,0
44,32,13.471651,68.75,12.5,18.75,0.0,16.047585,2.9524643,19.00005,0.0,0,0
45,25,7.388439,64.0,12.0,12.0,12.0,13.110908,3.93248,17.043388,0.0,0,0
46,36,18.687279,86.11111111111111,2.7777777777777777,5.555555555555555,5.555555555555555,6.7272906,3.179217,9.9065075,0.0,0,0
47,28,10.668816,78.57142857142857,7.142857142857143,14.285714285714286,0.0,11.713767,1.2648386,12.978605,0.0,0,0
48,40,21.244026,72.5,5.0,22.5,0.0,19.321096,1.6225953,20.943691,0.0,0,0
49,34,16.302608,82.3529411764706,5.882352941176471,11.764705882352942,0.0,12.382141,1.7251551,14.107296,0.0,0,0
50,34,16.5403,88.23529411764706,5.882352941176471,5.882352941176471,0.0,11.060208,3.3821783,14.442387,0.0,0,0
51,27,10.065117,85.18518518518519,3.7037037037037037,11.11111111111111,0.0,12.486777,1.0700419,13.556819,0.0,0,0
52,27,10.194092,88.88888888888889,3.7037037037037037,7.407407407407407,0.0,9.282009,1.525352,10.807362,0.0,0,0
53,28,10.978889,78.57142857142857,14.285714285714286,7.142857142857143,0.0,8.008334,1.4279866,9.436321,0.0,0,0
54,35,17.399654,71.42857142857143,8.571428571428571,5.714285714285714,14.285714285714286,10.331506,3.1987858,13.530292,0.0,0,0
55,25,7.409378,76.0,8.0,16.0,0.0,13.697715,3.3144305,17.012146,0.0,0,0
56,27,9.812113,81.48148148148148,7.407407407407407,11.11111111111111,0.0,11.0606575,2.203861,13.264519,0.0,0,0
57,31,13.134905,74.19354838709677,12.903225806451612,12.903225806451612,0.0,12.01309,2.7444034,14.757494,0.0,0,0
58,29,12.058794,86.20689655172414,6.896551724137931,6.896551724137931,0.0,11.615433,1.3289359,12.944368,0.0,0,0
