epi,t,reward,normo,hypo,sev_hypo,hyper,lgbi,hgbi,ri,sev_hyper,aBGP_rmse,cBGP_rmse
0,35,16.782642,68.57142857142857,20.0,11.428571428571429,0.0,12.932257,2.2208045,15.153061,0.0,0,0
1,27,9.673708,77.77777777777777,11.11111111111111,11.11111111111111,0.0,13.627756,2.0033183,15.631075,0.0,0,0
2,27,9.488743,77.77777777777777,7.407407407407407,14.814814814814815,0.0,15.020014,1.5018297,16.521843,0.0,0,0
3,49,30.304604,73.46938775510205,16.3265306122449,10.204081632653061,0.0,11.435859,1.6932702,13.129129,0.0,0,0
4,34,15.692228,70.58823529411765,20.58823529411765,8.823529411764707,0.0,13.700117,3.8054671,17.505585,0.0,0,0
5,29,10.738958,72.41379310344827,6.896551724137931,20.689655172413794,0.0,19.271898,1.9368441,21.208742,0.0,0,0
6,26,9.118256,88.46153846153847,3.8461538461538463,7.6923076923076925,0.0,9.062647,2.231525,11.294172,0.0,0,0
7,28,10.239971,71.42857142857143,10.714285714285714,17.857142857142858,0.0,13.059103,1.4020735,14.461177,0.0,0,0
8,28,10.005716,64.28571428571429,21.428571428571427,14.285714285714286,0.0,14.373616,2.5925899,16.966206,0.0,0,0
9,27,9.221369,70.37037037037037,7.407407407407407,22.22222222222222,0.0,16.295015,1.3621919,17.657207,0.0,0,0
10,32,14.620884,84.375,6.25,9.375,0.0,10.889646,2.2683158,13.157961,0.0,0,0
11,28,10.972366,85.71428571428571,7.142857142857143,7.142857142857143,0.0,8.23619,2.552059,10.788249,0.0,0,0
12,28,9.796017,71.42857142857143,7.142857142857143,21.428571428571427,0.0,17.40562,3.1011615,20.506783,0.0,0,0
13,32,14.691675,81.25,9.375,9.375,0.0,9.125605,1.829962,10.955566,0.0,0,0
14,29,11.308588,82.75862068965517,6.896551724137931,10.344827586206897,0.0,14.031164,3.5233593,17.554523,0.0,0,0
15,33,14.714909,75.75757575757575,6.0606060606060606,12.121212121212121,6.0606060606060606,13.5046835,4.977927,18.48261,0.0,0,0
16,37,18.490467,70.27027027027027,16.216216216216218,13.513513513513514,0.0,15.0611,2.8685663,17.929667,0.0,0,0
17,23,6.2502537,82.6086956521739,8.695652173913043,8.695652173913043,0.0,15.943513,1.028058,16.971571,0.0,0,0
18,38,19.721668,76.3157894736842,5.2631578947368425,18.42105263157895,0.0,12.282162,2.2249248,14.507087,0.0,0,0
19,27,10.078453,85.18518518518519,7.407407407407407,7.407407407407407,0.0,11.843706,1.3175291,13.161235,0.0,0,0
20,32,14.777092,87.5,3.125,9.375,0.0,9.857108,0.73957807,10.596686,0.0,0,0
21,30,12.341179,73.33333333333333,10.0,16.666666666666668,0.0,13.653752,0.8028646,14.456617,0.0,0,0
22,31,13.429693,83.87096774193549,6.451612903225806,9.67741935483871,0.0,10.317313,3.3903475,13.707661,0.0,0,0
23,45,26.002941,73.33333333333333,8.88888888888889,17.77777777777778,0.0,10.451199,2.1667318,12.61793,0.0,0,0
24,30,11.62059,66.66666666666667,10.0,23.333333333333332,0.0,16.80794,1.5933602,18.4013,0.0,0,0
25,41,23.147427,75.60975609756098,17.073170731707318,7.317073170731708,0.0,9.129151,1.1591733,10.288324,0.0,0,0
26,27,10.169704,88.88888888888889,3.7037037037037037,7.407407407407407,0.0,8.261997,1.7986028,10.0606,0.0,0,0
27,28,10.798847,82.14285714285714,7.142857142857143,10.714285714285714,0.0,14.94277,1.9356477,16.878418,0.0,0,0
28,34,16.210447,73.52941176470588,14.705882352941176,11.764705882352942,0.0,12.807407,1.3133274,14.120735,0.0,0,0
29,38,20.938614,92.10526315789474,2.6315789473684212,5.2631578947368425,0.0,7.634776,1.8013453,9.436121,0.0,0,0
30,26,8.574673,80.76923076923077,3.8461538461538463,15.384615384615385,0.0,12.865821,2.6091142,15.474936,0.0,0,0
31,31,12.929037,74.19354838709677,6.451612903225806,19.35483870967742,0.0,13.154114,2.3150058,15.46912,0.0,0,0
32,30,12.147911,73.33333333333333,6.666666666666667,20.0,0.0,14.4420595,1.3203909,15.76245,0.0,0,0
33,35,17.669624,80.0,11.428571428571429,8.571428571428571,0.0,8.106783,1.4852172,9.592,0.0,0,0
34,29,10.766027,68.96551724137932,3.4482758620689653,27.586206896551722,0.0,17.051138,1.5178269,18.568964,0.0,0,0
35,32,14.567374,84.375,6.25,9.375,0.0,14.037264,1.8644391,15.901703,0.0,0,0
36,29,11.919468,89.65517241379311,3.4482758620689653,6.896551724137931,0.0,9.294411,2.7422166,12.036627,0.0,0,0
37,34,16.156801,79.41176470588235,8.823529411764707,11.764705882352942,0.0,12.543077,2.8269694,15.370047,0.0,0,0
38,27,9.557835,77.77777777777777,7.407407407407407,14.814814814814815,0.0,13.183692,2.3326995,15.516392,0.0,0,0
39,27,9.71883,81.48148148148148,7.407407407407407,11.11111111111111,0.0,11.382018,1.3061644,12.688183,0.0,0,0
40,39,19.755306,64.1025641025641,17.94871794871795,17.94871794871795,0.0,15.437183,1.3461828,16.783367,0.0,0,0
41,32,14.882531,87.5,6.25,6.25,0.0,9.590515,2.1140614,11.7045765,0.0,0,0
42,37,19.88612,86.48648648648648,8.108108108108109,5.405405405405405,0.0,8.446662,1.6552414,10.101903,0.0,0,0
43,32,14.3982525,75.0,15.625,9.375,0.0,12.550771,1.8491387,14.39991,0.0,0,0
44,21,4.0499096,80.95238095238095,9.523809523809524,9.523809523809524,0.0,11.306507,2.5577707,13.864278,0.0,0,0
45,32,14.495286,81.25,6.25,12.5,0.0,13.042314,1.6043764,14.64669,0.0,0,0
46,27,9.396898,74.07407407407408,11.11111111111111,14.814814814814815,0.0,14.891265,2.1640773,17.055342,0.0,0,0
47,31,13.33485,83.87096774193549,6.451612903225806,9.67741935483871,0.0,11.917756,3.2430332,15.1607895,0.0,0,0
48,36,18.016117,75.0,13.88888888888889,11.11111111111111,0.0,13.844407,1.939346,15.783753,0.0,0,0
49,44,25.536587,81.81818181818181,4.545454545454546,13.636363636363637,0.0,10.895993,1.6098942,12.505887,0.0,0,0
50,38,19.960896,78.94736842105263,10.526315789473685,10.526315789473685,0.0,12.314242,2.491018,14.805261,0.0,0,0
51,27,9.3477,74.07407407407408,11.11111111111111,14.814814814814815,0.0,14.901287,2.4645085,17.365795,0.0,0,0
52,32,13.571404,68.75,12.5,18.75,0.0,13.651392,2.5150318,16.166424,0.0,0,0
53,41,23.231506,80.48780487804878,12.195121951219512,7.317073170731708,0.0,12.03535,1.3242004,13.35955,0.0,0,0
54,27,9.209915,70.37037037037037,7.407407407407407,22.22222222222222,0.0,13.2870035,0.41140726,13.698411,0.0,0,0
55,36,18.27074,80.55555555555556,8.333333333333334,11.11111111111111,0.0,14.2808895,1.1037697,15.384659,0.0,0,0
56,33,14.681503,69.6969696969697,15.151515151515152,15.151515151515152,0.0,13.599554,2.4087112,16.008265,0.0,0,0
57,28,10.370838,75.0,10.714285714285714,14.285714285714286,0.0,13.257308,1.9125898,15.169898,0.0,0,0
58,36,18.246273,83.33333333333333,8.333333333333334,8.333333333333334,0.0,12.873422,2.8750556,15.748477,0.0,0,0
59,38,19.981598,73.6842105263158,15.789473684210526,10.526315789473685,0.0,9.860796,0.7961302,10.656926,0.0,0,0
60,24,7.099209,83.33333333333333,4.166666666666667,12.5,0.0,9.051961,1.6342434,10.686204,0.0,0,0
61,38,19.718216,68.42105263157895,23.68421052631579,7.894736842105263,0.0,12.018059,1.995754,14.013813,0.0,0,0
62,37,18.28144,72.97297297297297,5.405405405405405,21.62162162162162,0.0,13.444089,2.413824,15.857913,0.0,0,0
63,37,19.296349,81.08108108108108,8.108108108108109,10.81081081081081,0.0,15.248225,2.0739312,17.322157,0.0,0,0
64,36,18.566036,88.88888888888889,2.7777777777777777,8.333333333333334,0.0,7.746361,2.3383095,10.08467,0.0,0,0
65,44,26.909836,86.36363636363636,11.363636363636363,2.272727272727273,0.0,5.834517,0.85466677,6.6891837,0.0,0,0
66,36,18.290638,75.0,16.666666666666668,8.333333333333334,0.0,11.990197,1.372743,13.36294,0.0,0,0
67,30,12.665997,76.66666666666667,13.333333333333334,10.0,0.0,10.282873,1.1526773,11.435551,0.0,0,0
68,34,16.361242,82.3529411764706,5.882352941176471,11.764705882352942,0.0,14.104333,2.0367532,16.141087,0.0,0,0
69,37,18.979012,81.08108108108108,5.405405405405405,13.513513513513514,0.0,13.605029,1.641832,15.246861,0.0,0,0
70,39,19.919945,66.66666666666667,12.820512820512821,20.512820512820515,0.0,17.99068,1.8275336,19.818214,0.0,0,0
71,45,27.542988,88.88888888888889,4.444444444444445,6.666666666666667,0.0,8.248588,1.9593608,10.207949,0.0,0,0
72,31,14.05435,90.3225806451613,3.225806451612903,6.451612903225806,0.0,8.642096,1.8827364,10.524832,0.0,0,0
73,39,21.14804,84.61538461538461,5.128205128205129,10.256410256410257,0.0,10.073994,1.5947999,11.668794,0.0,0,0
74,40,21.858425,80.0,10.0,10.0,0.0,9.39558,3.5110676,12.906648,0.0,0,0
75,23,5.747656,78.26086956521739,8.695652173913043,13.043478260869565,0.0,11.898705,1.871574,13.770279,0.0,0,0
76,42,23.60564,80.95238095238095,7.142857142857143,11.904761904761905,0.0,14.0801935,2.8711047,16.951298,0.0,0,0
77,35,17.636353,85.71428571428571,5.714285714285714,8.571428571428571,0.0,7.7702603,2.0371332,9.807394,0.0,0,0
78,29,11.395266,75.86206896551724,13.793103448275861,10.344827586206897,0.0,11.857464,2.7586365,14.6161,0.0,0,0
79,23,6.068943,82.6086956521739,8.695652173913043,8.695652173913043,0.0,13.652739,2.2306218,15.88336,0.0,0,0
80,40,22.180418,82.5,10.0,7.5,0.0,10.576163,1.349773,11.925937,0.0,0,0
81,32,12.960192,62.5,6.25,31.25,0.0,18.808266,1.4856448,20.293911,0.0,0,0
82,36,18.46976,88.88888888888889,5.555555555555555,5.555555555555555,0.0,8.192792,3.8006752,11.993467,0.0,0,0
83,38,19.795223,78.94736842105263,7.894736842105263,13.157894736842104,0.0,11.817263,2.746294,14.563557,0.0,0,0
84,27,9.6040745,81.48148148148148,7.407407407407407,11.11111111111111,0.0,10.519873,2.9259992,13.445871,0.0,0,0
