epi,t,reward,normo,hypo,sev_hypo,hyper,lgbi,hgbi,ri,sev_hyper,aBGP_rmse,cBGP_rmse
0,32,14.353067,84.375,6.25,9.375,0.0,9.995122,3.094527,13.089649,0.0,0,0
1,40,20.749228,67.5,7.5,25.0,0.0,14.347972,1.860321,16.208294,0.0,0,0
2,29,11.796707,79.3103448275862,10.344827586206897,10.344827586206897,0.0,13.500097,1.2351527,14.73525,0.0,0,0
3,37,19.49532,75.67567567567568,16.216216216216218,8.108108108108109,0.0,9.544083,0.8841353,10.428218,0.0,0,0
4,36,17.38213,72.22222222222223,5.555555555555555,22.22222222222222,0.0,15.230259,1.428272,16.658531,0.0,0,0
5,45,27.920383,91.11111111111111,2.2222222222222223,6.666666666666667,0.0,5.8017774,0.80300367,6.604781,0.0,0,0
6,26,8.577412,76.92307692307692,7.6923076923076925,15.384615384615385,0.0,11.950087,1.9258313,13.875917,0.0,0,0
7,22,4.6722775,68.18181818181819,9.090909090909092,13.636363636363637,9.090909090909092,11.704046,3.8328302,15.536877,0.0,0,0
8,39,20.782444,79.48717948717949,7.6923076923076925,12.820512820512821,0.0,12.278401,2.7560081,15.0344095,0.0,0,0
9,22,4.8845806,77.27272727272727,9.090909090909092,13.636363636363637,0.0,13.584719,1.1221281,14.706847,0.0,0,0
10,26,8.594105,73.07692307692308,11.538461538461538,15.384615384615385,0.0,14.068297,1.4791476,15.547445,0.0,0,0
11,30,12.521183,76.66666666666667,13.333333333333334,10.0,0.0,10.015257,1.2113428,11.2266,0.0,0,0
12,29,11.335798,72.41379310344827,13.793103448275861,13.793103448275861,0.0,12.1221895,1.621663,13.743853,0.0,0,0
13,37,19.730022,86.48648648648648,5.405405405405405,8.108108108108109,0.0,6.6433096,1.8323959,8.475705,0.0,0,0
14,32,15.143336,84.375,9.375,6.25,0.0,6.3023143,0.28916377,6.591478,0.0,0,0
15,30,12.199856,76.66666666666667,6.666666666666667,16.666666666666668,0.0,13.535649,2.4799776,16.015627,0.0,0,0
16,25,7.786804,80.0,8.0,12.0,0.0,13.211592,2.5346541,15.746246,0.0,0,0
17,30,12.6923065,83.33333333333333,6.666666666666667,10.0,0.0,7.842645,2.7368267,10.579472,0.0,0,0
18,31,13.9275055,87.09677419354838,6.451612903225806,6.451612903225806,0.0,8.951045,1.1812415,10.132286,0.0,0,0
19,36,16.229313,63.888888888888886,5.555555555555555,30.555555555555557,0.0,17.968872,4.333319,22.30219,0.0,0,0
20,30,12.012869,73.33333333333333,10.0,16.666666666666668,0.0,13.992468,1.7950032,15.787471,0.0,0,0
21,32,14.437714,84.375,6.25,9.375,0.0,11.659751,2.7216296,14.38138,0.0,0,0
22,31,12.785181,74.19354838709677,6.451612903225806,19.35483870967742,0.0,14.465747,2.661428,17.127174,0.0,0,0
23,27,9.993742,85.18518518518519,3.7037037037037037,11.11111111111111,0.0,12.740365,1.3395811,14.0799465,0.0,0,0
24,27,9.513029,77.77777777777777,11.11111111111111,11.11111111111111,0.0,11.461764,2.0275056,13.48927,0.0,0,0
25,42,24.546932,88.0952380952381,7.142857142857143,4.761904761904762,0.0,8.172808,1.5134484,9.686256,0.0,0,0
26,29,11.731209,82.75862068965517,10.344827586206897,6.896551724137931,0.0,10.700043,2.628597,13.32864,0.0,0,0
27,33,15.435064,78.78787878787878,12.121212121212121,9.090909090909092,0.0,10.45031,1.6123233,12.0626335,0.0,0,0
28,35,17.13937,82.85714285714286,5.714285714285714,11.428571428571429,0.0,12.057702,3.0644698,15.122171,0.0,0,0
29,29,10.686949,68.96551724137932,6.896551724137931,24.137931034482758,0.0,13.824509,1.867813,15.692322,0.0,0,0
30,42,23.16655,69.04761904761905,14.285714285714286,16.666666666666668,0.0,16.628735,1.54845,18.177185,0.0,0,0
31,36,18.415,88.88888888888889,2.7777777777777777,8.333333333333334,0.0,8.310621,1.9004686,10.21109,0.0,0,0
32,24,6.8122478,79.16666666666667,8.333333333333334,12.5,0.0,12.317271,2.4102063,14.727478,0.0,0,0
33,34,16.117287,73.52941176470588,8.823529411764707,17.647058823529413,0.0,12.591964,0.7242546,13.316218,0.0,0,0
34,32,14.099844,71.875,18.75,9.375,0.0,13.26723,2.3543265,15.621556,0.0,0,0
35,39,20.13728,71.7948717948718,7.6923076923076925,20.512820512820515,0.0,13.809733,1.9067026,15.716436,0.0,0,0
36,27,9.241743,74.07407407407408,7.407407407407407,18.51851851851852,0.0,17.219841,1.5323789,18.75222,0.0,0,0
37,26,8.020668,69.23076923076923,7.6923076923076925,23.076923076923077,0.0,15.601486,2.5548587,18.156345,0.0,0,0
38,42,24.544674,90.47619047619048,2.380952380952381,7.142857142857143,0.0,7.147919,1.2353476,8.383266,0.0,0,0
39,29,11.262381,72.41379310344827,10.344827586206897,17.24137931034483,0.0,14.443381,1.5068725,15.9502535,0.0,0,0
40,38,19.167038,73.6842105263158,5.2631578947368425,21.05263157894737,0.0,14.41863,1.8321643,16.250793,0.0,0,0
41,30,12.464214,80.0,6.666666666666667,13.333333333333334,0.0,12.641644,2.222291,14.8639345,0.0,0,0
42,32,14.30696,75.0,18.75,6.25,0.0,10.508567,3.349901,13.858468,0.0,0,0
43,25,7.804676,76.0,12.0,12.0,0.0,12.560258,1.3816601,13.941918,0.0,0,0
44,46,26.548164,73.91304347826087,8.695652173913043,17.391304347826086,0.0,14.753055,2.44328,17.196335,0.0,0,0
45,29,11.262678,75.86206896551724,13.793103448275861,10.344827586206897,0.0,12.695389,3.499972,16.19536,0.0,0,0
46,25,8.098347,84.0,8.0,8.0,0.0,12.36417,1.0560588,13.420229,0.0,0,0
47,40,22.263073,85.0,7.5,7.5,0.0,10.1522875,2.6797192,12.832006,0.0,0,0
48,32,13.974999,71.875,18.75,9.375,0.0,14.228999,2.9273694,17.156368,0.0,0,0
49,33,15.1908245,69.6969696969697,21.21212121212121,9.090909090909092,0.0,10.907597,2.6178925,13.525489,0.0,0,0
50,32,14.005067,71.875,18.75,9.375,0.0,12.870935,3.1888227,16.059757,0.0,0,0
51,29,11.318239,75.86206896551724,10.344827586206897,13.793103448275861,0.0,14.075411,1.4569031,15.532314,0.0,0,0
52,35,16.233328,68.57142857142857,8.571428571428571,22.857142857142858,0.0,15.9229145,1.6537257,17.576641,0.0,0,0
53,31,13.552221,77.41935483870968,16.129032258064516,6.451612903225806,0.0,12.101679,2.4671743,14.568853,0.0,0,0
