epi,t,reward,normo,hypo,sev_hypo,hyper,lgbi,hgbi,ri,sev_hyper,aBGP_rmse,cBGP_rmse
0,25,7.6661873,72.0,16.0,12.0,0.0,14.165626,1.1208669,15.286492,0.0,0,0
1,34,16.53375,79.41176470588235,14.705882352941176,5.882352941176471,0.0,11.914363,1.8990235,13.813387,0.0,0,0
2,31,12.907501,74.19354838709677,6.451612903225806,19.35483870967742,0.0,16.00245,2.1839745,18.186426,0.0,0,0
3,32,14.873902,90.625,3.125,6.25,0.0,7.511771,2.5326922,10.044463,0.0,0,0
4,33,14.795624,72.72727272727273,9.090909090909092,18.181818181818183,0.0,14.897723,1.9477476,16.84547,0.0,0,0
5,26,8.575533,80.76923076923077,7.6923076923076925,11.538461538461538,0.0,11.758411,3.399261,15.157673,0.0,0,0
6,32,14.589987,81.25,9.375,9.375,0.0,11.591037,2.001896,13.592933,0.0,0,0
7,32,14.487325,84.375,3.125,12.5,0.0,10.638924,2.247006,12.885929,0.0,0,0
8,26,8.438824,76.92307692307692,11.538461538461538,11.538461538461538,0.0,10.568115,3.8570898,14.425205,0.0,0,0
9,33,14.520189,72.72727272727273,9.090909090909092,18.181818181818183,0.0,15.026556,1.912687,16.939243,0.0,0,0
10,38,20.05159,81.57894736842105,7.894736842105263,10.526315789473685,0.0,12.761358,2.2238283,14.985187,0.0,0,0
11,28,10.3503475,71.42857142857143,14.285714285714286,14.285714285714286,0.0,12.946167,1.5596739,14.505841,0.0,0,0
12,32,14.075834,65.625,25.0,9.375,0.0,13.749384,1.4281225,15.177506,0.0,0,0
13,25,7.126358,68.0,12.0,20.0,0.0,13.991102,2.6903212,16.681423,0.0,0,0
14,26,8.307032,69.23076923076923,11.538461538461538,11.538461538461538,7.6923076923076925,15.842231,3.8135855,19.655817,0.0,0,0
15,36,18.397251,83.33333333333333,5.555555555555555,11.11111111111111,0.0,12.323407,1.1757413,13.499148,0.0,0,0
16,22,5.0982304,81.81818181818181,9.090909090909092,9.090909090909092,0.0,11.984089,1.5750414,13.559131,0.0,0,0
17,29,11.698399,86.20689655172414,3.4482758620689653,10.344827586206897,0.0,12.219226,2.4264557,14.645681,0.0,0,0
18,27,9.735867,81.48148148148148,7.407407407407407,11.11111111111111,0.0,12.585135,1.632081,14.2172165,0.0,0,0
19,29,11.865223,86.20689655172414,3.4482758620689653,10.344827586206897,0.0,13.58246,2.045776,15.628237,0.0,0,0
20,35,16.57639,65.71428571428571,17.142857142857142,17.142857142857142,0.0,13.834722,1.0985961,14.933317,0.0,0,0
21,30,12.320929,83.33333333333333,6.666666666666667,10.0,0.0,12.443147,3.639326,16.082474,0.0,0,0
22,27,9.55316,85.18518518518519,7.407407407407407,7.407407407407407,0.0,10.117567,4.7978625,14.91543,0.0,0,0
23,32,14.398059,81.25,9.375,9.375,0.0,12.94666,1.5792856,14.525946,0.0,0,0
24,26,9.091253,84.61538461538461,7.6923076923076925,7.6923076923076925,0.0,11.334476,1.5893706,12.923847,0.0,0,0
25,44,26.091637,79.54545454545455,13.636363636363637,6.818181818181818,0.0,11.517621,1.937074,13.454695,0.0,0,0
26,29,11.744429,82.75862068965517,6.896551724137931,10.344827586206897,0.0,12.860546,1.2349017,14.095448,0.0,0,0
27,22,5.1077576,81.81818181818181,4.545454545454546,13.636363636363637,0.0,12.23634,1.3271571,13.563497,0.0,0,0
28,32,14.743871,84.375,6.25,9.375,0.0,8.472798,2.5072584,10.980057,0.0,0,0
29,28,10.552143,78.57142857142857,7.142857142857143,14.285714285714286,0.0,10.247409,2.1255229,12.3729315,0.0,0,0
30,31,13.516983,80.64516129032258,9.67741935483871,9.67741935483871,0.0,12.236192,2.5569482,14.79314,0.0,0,0
